path,tag,name,keyword,VR,private,value,count
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11100905091110000105111305090709,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09071502150602001009041214040315,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12031311070507060813050800031313,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04131510070001011107040403071102,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08050506060410091114110412130504,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10081312010805021201100507060411,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06141210040207130507130606070312,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08121504041301080101130415050611,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10031005061115110908060312000307,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11151304101402090112060913070605,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13130511100900071404010502130909,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10040807011312021210130513011200,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03120008051300001208141011101302,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.01070801081413060013111012010201,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14080500031007021314121106040303,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03020502031409151006020306090105,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.07111115111305011108141412010801,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02011409120209130807021302101100,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.07050602130910101513020700010509,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02030508140000071310150302011113,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09070705131210061514041509120513,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09150805131402040209060509150410,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11000605051111050207041006140905,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09060004140611120111091509030603,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02111507100612121000021204080801,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04071014120313000711051010091409,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12120911020011140507050515090906,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.00131503020212110600101502020700,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12051101030200021506031210090702,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.05100110120015150515030506140402,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06081211090913150712130913130401,1
